,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
33,04gcWAYrysWyDcoSVUa3Vy,Siren,Alande,tech_house,0.000556,0.822,0.477,187680,0.822,0.00591,2,0.0952,-5.8,1,0.0443,124.998,4
34,4CmypysDBlrc7Zk6iJXmxE,OOALH - Kim Kaey Remix,Redondo,tech_house,0.0135,0.827,0.263,211200,0.929,0.000894,6,0.0775,-3.323,0,0.0477,125.033,4
35,4sxqijfQcpiXt7brbYUk66,Swipe This,Crossnaders,tech_house,0.0153,0.814,0.967,174902,0.965,0.568,6,0.193,-3.704,1,0.0667,124.909,4
36,7J4zszAZxAyowZp7gNUIUI,Bongo Cha Cha Cha,Goodboys,tech_house,0.00664,0.817,0.973,113128,0.974,0.255,5,0.0651,-5.703,0,0.0473,126.006,4
37,4JNfSaTt2RgXddGPjLvS87,All I Need,Jaded,tech_house,0.000214,0.801,0.617,214250,0.953,0.872,1,0.0598,-7.492,1,0.0617,125.987,4
38,479ulJIPRJSjdOyucQ3c7H,So Sick - Chapter & Verse,Adam Trigger,tech_house,0.00448,0.717,0.846,217143,0.832,0.0227,6,0.374,-4.762,1,0.0722,126.003,4
39,4SsKDZRCtPmGGNVXnhuy3U,Feelings,CATCH,tech_house,0.00754,0.752,0.705,131129,0.646,0.00239,11,0.085,-8.223,0,0.0504,125.953,4
40,6O8yywpUEqoDkhJ8bIrtTp,The Way That I Feel (feat. Roxy Lebrasse) [Illyus & Barrientos Remix],Random Soul,tech_house,0.000779,0.666,0.857,234096,0.817,0.0123,10,0.135,-6.327,0,0.0569,125.024,4
41,7xgPbZtJlFM12xjhjta7xW,No Surprise,Krude,tech_house,0.00328,0.781,0.949,182007,0.941,0.747,11,0.119,-3.756,0,0.0465,126.999,4
42,2iED6ssy3UrPEby9DIQZaF,Together - Guz Remix,SIDEPIECE,tech_house,0.0739,0.784,0.285,157343,0.865,0.455,2,0.134,-8.652,0,0.0407,125.001,4
43,28cF5QOu0CWdyTt6lYxIeA,Sun Goes Down,Cloonee,tech_house,0.0339,0.771,0.635,154524,0.939,0.000157,7,0.149,-5.145,1,0.158,126.036,4
44,2rqgrjE3T96UvvQ0MheJ8T,Ashes,Chapter & Verse,tech_house,0.0205,0.623,0.632,222250,0.844,0.532,10,0.158,-4.296,1,0.0457,125.007,4
45,2zgPFRhDFlQW8D9LNpcP1w,Corrido,Giovanni Coppola,tech_house,0.000454,0.785,0.769,215243,0.878,0.848,1,0.0997,-8.13,1,0.0414,126.007,4
46,3e3qNDf5bVeEiBNpOGQ104,Language - Walker & Royce Remix,Mindchatter,tech_house,0.0249,0.844,0.8,247115,0.8,0.276,6,0.0944,-6.475,0,0.0636,126.985,4
47,7fdw5jdhCOkOef7SvSaeVG,Lips - Thomas Newson Edit,MESZCA,tech_house,0.00863,0.834,0.739,170000,0.963,0.00886,8,0.066,-6.655,1,0.0873,126.998,4
48,0MY28gRIOFWVRa0ZCBHeLB,I Want The Money (The Crypto Anthem),Alex Parker,tech_house,0.0216,0.756,0.544,181678,0.725,0.249,6,0.0841,-4.23,1,0.0377,125.525,4
49,5rI9knM8v8FiHoN3zQEtZ1,Tear It Up,MD Jones,tech_house,0.00565,0.833,0.736,238081,0.801,0.881,0,0.363,-9.476,0,0.0727,125.001,4
50,4IWDjlopNrVsznQfp2s8M4,Disco Tool,Matroda,tech_house,0.00233,0.862,0.903,177120,0.783,0.0182,8,0.0414,-5.388,0,0.062,124.975,4
51,3gGGSaoesLUfo2Ojtut3x9,Shake That,Tom Budin,tech_house,0.00163,0.8,0.912,186387,0.672,0.765,11,0.0703,-10.88,0,0.0434,126.009,4
52,0VW8lBNfrrf7LyZ2ruPqGc,With Honor,Block & Crown,tech_house,0.049,0.829,0.659,260952,0.962,0.0023,10,0.0675,-1.984,1,0.0803,126.002,4
53,28OvJbpUgUWR6tAk6hvVtI,Find You,Platter Pushers,tech_house,0.00134,0.799,0.334,207386,0.623,0.639,7,0.0741,-6.661,1,0.0412,124.952,4
54,2qZaZ0WCHp6aCvYwDbu0XB,Shake Them,Estie,tech_house,0.0057,0.897,0.623,160871,0.559,0.033,2,0.0763,-7.313,1,0.153,127.003,4
55,5tb7bUuqTNVeON3uamNvSF,The Answer (featuring Arthur Baker & Victor Simonelli),Chris Lake,tech_house,0.0437,0.728,0.518,203720,0.905,0.0641,10,0.233,-4.388,0,0.129,125.967,4
56,2oet7ZjmhwupA2E9hLPPLG,Tonight,Jaxomy,tech_house,0.000407,0.811,0.934,157500,0.926,0.278,11,0.0785,-7.29,0,0.17,123.951,4
57,6PbUBkOUtkjvj7eJ8VxIFY,Break It Down,TMLH,tech_house,0.00271,0.78,0.741,168047,0.954,0.879,6,0.294,-6.936,0,0.0664,123.982,4
58,4zJ3IOHwTlAU1OS8j90hlw,A Good Time,Williams88,tech_house,0.000658,0.843,0.788,186667,0.567,0.768,11,0.0464,-6.208,0,0.195,126.035,4
