id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
4oS2Gik6Vo9csv7teQsPoG,The Cure & The Cause - Dennis Ferrer Remix,Fish Go Deep,house,0.0126,0.77,0.966,378375,0.7509999999999999,0.741,6,0.07200000000000001,-7.239,0,0.0556,125.986,4
2amYO9uSLjsHfLSUZVh5Wq,Let's Groove,George Morel,house,0.0019,0.728,0.5589999999999999,417467,0.835,0.893,7,0.0933,-6.542000000000001,1,0.0585,125.223,4
4m2RLN7imvsaLL1ZUGfFFw,In White Rooms,Booka Shade,house,0.000962,0.8,0.096,326840,0.65,0.82,0,0.231,-9.145,1,0.0587,125.001,4
5xEW7GGQhDhvJDWnCpfTEL,Yours feat. Virginia,Steffi,house,0.085,0.8079999999999999,0.593,340944,0.51,0.14800000000000002,9,0.0999,-11.782,0,0.0824,125.0,4
5YzBL3vkQnp3JbeDRRSbSQ,Pick Up,DJ Koze,house,1.09e-05,0.7120000000000001,0.513,398151,0.601,0.802,5,0.0982,-8.968,1,0.062,124.912,4
2Biy0tRkZTGxGH8axDwnqP,The Bomb (These Sounds Fall Into My Mind),The Bucketheads,house,0.0027,0.782,0.872,202934,0.8740000000000001,0.34299999999999997,5,0.0766,-3.57,1,0.0384,125.917,4
1QNlbjYue9b1yfhId5YR26,Closer Than Close (Mentor Remake),Rosie Gaines,house,0.00149,0.8,0.43,400840,0.7340000000000001,0.28300000000000003,9,0.0359,-10.538,1,0.0865,121.02,4
3egL3Vnd8iNRpkytmn5Zl2,The Funk Phenomena,Armand Van Helden,house,0.0059700000000000005,0.929,0.485,417200,0.509,0.934,1,0.10800000000000001,-8.057,0,0.11599999999999999,127.01299999999999,4
7iEgoNG4xlbpTxLuMNrBl5,I'm Lonely,Hollis P. Monroe,house,0.0010199999999999999,0.6559999999999999,0.815,413120,0.8640000000000001,0.787,7,0.158,-6.422999999999999,1,0.0444,133.305,4
6pLqWnPefTep0LTUVG9PHG,Passion - Naked Mix,Gat Decor,house,0.0033299999999999996,0.748,0.0823,464933,0.711,0.917,5,0.259,-11.523,0,0.0407,124.855,4
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,Modjo,house,0.00793,0.72,0.8690000000000001,307154,0.8079999999999999,0.0293,6,0.0634,-5.627000000000001,1,0.0379,126.041,4
