,id,name,artist,genre,acousticness,danceability,valence,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
34,1fPgFYKjOmuOU4wqdYBuLr,Interference - Regal Remix,Alignment,techno,0.0213,0.685,0.189,384721,0.954,0.581,10,0.113,-7.3,0,0.0498,136.019,4
35,2gB32OX7YUsejYyLQObiul,Retro Freak,T78,techno,0.00386,0.773,0.116,369091,0.878,0.502,7,0.0956,-5.116,1,0.132,131.995,4
36,3y3VU4edSQlvZQfbY4h8Nx,Here Comes The Storm - Kobosil 44 Terror Mix,Radical G,techno,0.000452,0.593,0.0369,370400,0.977,0.808,5,0.12,-7.62,0,0.0499,133.003,4
37,649gHObhF1S3AGzPwr9wfw,Mdma - Alien Rain Remix,Ellen Allien,techno,0.0434,0.531,0.193,391070,0.913,0.908,6,0.113,-8.317,1,0.0639,138.026,4
38,1kiECOpalhNenYqin6V72w,Reign Of Terror,Dax J,techno,0.0114,0.535,0.193,381272,0.799,0.885,7,0.0951,-11.161,1,0.0417,131.997,4
39,4kKuIz8nslWCKj2qLBbY74,Fury,Beico & MT93,techno,0.000202,0.642,0.0785,431613,0.733,0.826,2,0.104,-9.209,1,0.0408,129.999,4
40,2WcLzHxzoCkOvNPIIvNpAg,Ac/Id - Original Mix,A*S*Y*S,techno,0.000256,0.676,0.394,438425,0.935,0.856,7,0.0939,-5.892,1,0.0468,126.993,4
41,3zSlYg0QBPhLpyMJhZgGXz,Crimson,Thomas Schumacher,techno,0.016,0.724,0.0575,476279,0.84,0.851,9,0.342,-9.644,0,0.103,128.996,4
42,56shAaXCI3eYnv1EbrJoob,Gates of Dawn,Spektre,techno,0.00105,0.65,0.189,267400,0.9,0.886,7,0.0939,-7.595,1,0.0517,128.004,4
43,7v1JbouuzwrFU5waJXR5cu,Ever Gone,Alignment,techno,0.000368,0.578,0.0967,359547,0.933,0.545,6,0.0709,-7.658,0,0.0372,136.007,4
44,6bqNhDsfZPOYP3xWDwEzSb,Let There Be Dark - Original Mix,Beico & MT93,techno,0.0014,0.744,0.162,423750,0.764,0.857,6,0.0674,-9.231,0,0.0717,128.024,4
45,5TLCWDk3OqCe9mTPEJFbgU,Inferno,Carl Cox,techno,0.0131,0.675,0.131,416071,0.823,0.0147,1,0.0981,-6.534,0,0.0887,125.995,4
46,0ZrXNuryJ6FYjww6jU6RUm,Kollera,Dusty Kid,techno,0.0111,0.699,0.322,435000,0.593,0.928,10,0.287,-8.902,0,0.0546,128.011,3
47,7yyNaKHvH76G4tohz4cM7u,Megator,T78,techno,0.00127,0.717,0.109,330462,0.986,0.838,11,0.0222,-5.267,0,0.158,129.989,4
48,6Qp2c0odcvUIN640gVyisz,Liquid Slow,Chris Liebing,techno,0.0103,0.73,0.313,406344,0.556,0.874,1,0.104,-8.307,1,0.0466,130.047,4
49,0mDkqSLjQ1x6mK3KjxOVa1,Entropy - Spartaque Remix,Joyhauser,techno,7.78e-05,0.607,0.0352,423750,0.964,0.898,11,0.138,-6.675,0,0.0348,127.99,4
50,5EK4UC92m4WqdSHYMFwQ2B,The Acid - Original Version,A*S*Y*S,techno,0.0979,0.779,0.0301,402462,0.976,0.878,0,0.0971,-6.785,1,0.0495,130.008,4
